Size: 102400, TotalTime: 0.07876443862915039, EncodingTime: 0.03602790832519531
Size: 102400, TotalTime: 0.08283448219299316, EncodingTime: 0.03469967842102051
Size: 102400, TotalTime: 0.08811211585998535, EncodingTime: 0.029946565628051758
Size: 102400, TotalTime: 0.10102605819702148, EncodingTime: 0.02861928939819336
Size: 102400, TotalTime: 0.08559656143188477, EncodingTime: 0.03377199172973633
Size: 102400, TotalTime: 0.07283592224121094, EncodingTime: 0.0338435173034668
Size: 102400, TotalTime: 0.08289027214050293, EncodingTime: 0.028633594512939453
Size: 102400, TotalTime: 0.08993721008300781, EncodingTime: 0.036913156509399414
Size: 102400, TotalTime: 0.08057236671447754, EncodingTime: 0.034474849700927734
Size: 102400, TotalTime: 0.08347368240356445, EncodingTime: 0.037923574447631836
Size: 102400, TotalTime: 0.07576203346252441, EncodingTime: 0.022700786590576172
Size: 102400, TotalTime: 0.09625005722045898, EncodingTime: 0.03466081619262695
Size: 102400, TotalTime: 0.07235026359558105, EncodingTime: 0.0298159122467041
Size: 102400, TotalTime: 0.06788134574890137, EncodingTime: 0.02662181854248047
Size: 102400, TotalTime: 0.08629775047302246, EncodingTime: 0.030122995376586914
Size: 102400, TotalTime: 0.0800468921661377, EncodingTime: 0.028061389923095703
Size: 102400, TotalTime: 0.08016228675842285, EncodingTime: 0.02736687660217285
Size: 102400, TotalTime: 0.07939887046813965, EncodingTime: 0.03356647491455078
Size: 102400, TotalTime: 0.08844900131225586, EncodingTime: 0.03185129165649414
Size: 102400, TotalTime: 0.08236050605773926, EncodingTime: 0.03763699531555176
Size: 102400, TotalTime: 0.08967113494873047, EncodingTime: 0.03397107124328613
Size: 102400, TotalTime: 0.07629084587097168, EncodingTime: 0.03474831581115723
Size: 102400, TotalTime: 0.07397174835205078, EncodingTime: 0.0231778621673584
Size: 102400, TotalTime: 0.07945108413696289, EncodingTime: 0.0280606746673584
Size: 102400, TotalTime: 0.09116911888122559, EncodingTime: 0.03353714942932129
Size: 102400, TotalTime: 0.0815436840057373, EncodingTime: 0.03395342826843262
Size: 102400, TotalTime: 0.08083653450012207, EncodingTime: 0.028975248336791992
Size: 102400, TotalTime: 0.08571052551269531, EncodingTime: 0.04026341438293457
Size: 102400, TotalTime: 0.08062601089477539, EncodingTime: 0.027869224548339844
Size: 102400, TotalTime: 0.08295226097106934, EncodingTime: 0.0281679630279541
Size: 102400, TotalTime: 0.0873265266418457, EncodingTime: 0.04128432273864746
Size: 102400, TotalTime: 0.07796263694763184, EncodingTime: 0.02709650993347168
Size: 102400, TotalTime: 0.07832002639770508, EncodingTime: 0.026589393615722656
Size: 102400, TotalTime: 0.0758521556854248, EncodingTime: 0.0339205265045166
Size: 102400, TotalTime: 0.08786773681640625, EncodingTime: 0.030616044998168945
Size: 102400, TotalTime: 0.08343887329101562, EncodingTime: 0.02967667579650879
